item_id,name_bn,name_en,unit,category,reorder_level,opening_balance,spec,active,created_at,created_by,updated_at
ITM-0001,A4 Envelope (Handmade Paper),A4 Envelope (Handmade Paper),piece,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0002,A4 Folder File,A4 Folder File,piece,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0003,A4 Paper (80 GSM),A4 Paper (80 GSM),ream,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0004,A4 Plastic File,A4 Plastic File,piece,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0005,Aerosol 250 ml,Aerosol 250 ml,piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0006,Air Freshener (300 ml),Air Freshener (300 ml),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0007,Attendance Book,Attendance Book,piece,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0008,Ballpoint Pen (Black),Ballpoint Pen (Black),piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0009,Ballpoint Pen (Blue),Ballpoint Pen (Blue),piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0010,Battery (1.5 Volt),Battery (1.5 Volt),piece,যন্ত্রপাতি ও সরঞ্জাম,,0,,TRUE,2026-06-15,seed,
ITM-0011,Battery (12 Volt),Battery (12 Volt),piece,যন্ত্রপাতি ও সরঞ্জাম,,0,,TRUE,2026-06-15,seed,
ITM-0012,Board File,Board File,piece,কাগজ ও ফাইল,,0,,TRUE,2026-06-15,seed,
ITM-0013,Correction Pen,Correction Pen,piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0014,Double Punch Machine,Double Punch Machine,piece,যন্ত্রপাতি ও সরঞ্জাম,,0,,TRUE,2026-06-15,seed,
ITM-0015,Eraser,Eraser,piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0016,Facial Tissue,Facial Tissue,piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0017,Fixol (1 Liter),Fixol (1 Liter),piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0018,Glue Stick,Glue Stick,piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0019,Hand Towel,Hand Towel,piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0020,Hand Wash Refill (170 ml),Hand Wash Refill (170 ml),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0021,Hard Broom,Hard Broom,piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0022,Harpic (1 Liter),Harpic (1 Liter),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0023,Harpic (750 ml),Harpic (750 ml),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0024,Highlighter Pen,Highlighter Pen,piece,লেখার সামগ্রী,,0,,TRUE,2026-06-15,seed,
ITM-0025,Lizol (1 Liter),Lizol (1 Liter),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
ITM-0026,Lizol (500 ml),Lizol (500 ml),piece,পরিষ্কার ও টয়লেট্রিজ,,0,,TRUE,2026-06-15,seed,
